date,code,open,high,low,close,volume,amount,pctChg
2015-04-10,sh.000300,4213.8940,4351.6870,4197.0190,4344.4160,166192944100,2382727829127.0000,4.169198
2015-04-17,sh.000300,4394.0470,4630.2700,4335.6300,4596.1360,231614570400,3096144911729.0000,5.794104
2015-04-24,sh.000300,4615.0340,4782.0440,4492.6000,4702.6410,267055174800,3868086069574.0000,2.317273
2015-04-30,sh.000300,4753.8710,4839.0780,4695.7930,4749.8860,191649951700,2840448043353.0000,1.004648
2015-05-08,sh.000300,4757.6370,4795.9150,4445.5920,4558.4040,181450435100,2690788227505.0000,-4.031297
2015-05-15,sh.000300,4582.0910,4758.0020,4535.1490,4617.4700,178777905300,2800778222281.0000,1.295761
2015-05-22,sh.000300,4582.0580,4951.9910,4565.0610,4951.3350,170804844400,2772747621221.0000,7.230475
2015-05-29,sh.000300,4949.1100,5226.8440,4665.5210,4840.8290,242419258500,3846423494868.0000,-2.231823
2015-06-05,sh.000300,4862.7560,5288.3400,4835.7740,5230.5520,227346367100,3558748145731.0000,8.050749
2015-06-12,sh.000300,5259.4080,5380.4260,5202.5950,5335.1150,247237631700,3887237131634.0000,1.999082
2015-06-19,sh.000300,5354.0140,5362.4520,4634.6910,4637.0520,200704608600,3082884959616.0000,-13.084310
2015-06-26,sh.000300,4641.4250,4919.2630,4278.6750,4336.1950,169250243900,2405564079011.0000,-6.488109
2015-07-03,sh.000300,4446.8420,4526.1270,3785.9020,3885.9170,237079221700,3175114525649.0000,-10.384173
2015-07-10,sh.000300,4218.2660,4218.2660,3537.8260,4106.5560,291351904600,3409466643999.0000,5.677913
2015-07-17,sh.000300,4132.2310,4278.1610,3856.3210,4151.4960,204010903800,2616485517306.0000,1.094348
2015-07-24,sh.000300,4157.0600,4299.6500,4081.7040,4176.2790,173651154600,2376896110882.0000,0.596966
2015-07-31,sh.000300,4097.7960,4156.3130,3627.4210,3816.6990,151948000400,2008558136525.0000,-8.610057
2015-08-07,sh.000300,3766.0720,3962.2770,3742.5780,3906.9450,99715370200,1313159797758.0000,2.364504
2015-08-14,sh.000300,3947.4720,4113.1590,3932.8420,4073.5400,138019090200,1818462343049.0000,4.264073
2015-08-21,sh.000300,4058.1130,4103.0540,3578.1750,3589.5360,127602491500,1640753343580.0000,-11.881656
2015-08-28,sh.000300,3454.5980,3468.1490,2952.0080,3342.2860,140658193700,1464006276734.0000,-6.888077
2015-09-02,sh.000300,3307.3960,3387.0210,3190.5780,3365.8320,98049834300,1006985108765.0000,0.704488
2015-09-11,sh.000300,3347.2930,3426.6510,3170.8070,3347.1880,83272196200,947238015863.0000,-0.553920
2015-09-18,sh.000300,3367.6420,3373.9210,3131.3700,3251.2730,78502824800,852450317302.0000,-2.865540
2015-09-25,sh.000300,3222.6030,3371.4140,3201.9140,3231.9510,61561260800,713124667821.0000,-0.594290
2015-09-30,sh.000300,3226.6070,3246.5540,3159.0420,3202.9480,23992945000,280580575735.0000,-0.897384
2015-10-09,sh.000300,3324.9810,3352.3790,3293.9650,3340.1160,25643426800,308851944540.0000,4.282555
2015-10-16,sh.000300,3351.1390,3537.5390,3347.2510,3534.0650,89913120000,1067378033879.0000,5.806655
2015-10-23,sh.000300,3548.9520,3601.2430,3417.4120,3571.2410,105130796000,1278946839889.0000,1.051933
2015-10-30,sh.000300,3614.7020,3620.7560,3486.1020,3534.0790,83343446100,1067204356840.0000,-1.040591
2015-11-06,sh.000300,3489.2250,3801.7050,3452.6200,3793.3740,113362795300,1451560112688.0000,7.336989
2015-11-13,sh.000300,3796.3790,3891.7730,3727.5850,3746.2420,129658626000,1735488594431.0000,-1.242482
2015-11-20,sh.000300,3682.7350,3852.7740,3680.0730,3774.3830,93749714500,1293612960084.0000,0.751179
2015-11-27,sh.000300,3774.4360,3805.8440,3534.3900,3556.9920,85341986200,1151816496681.0000,-5.759643
2015-12-04,sh.000300,3554.8900,3758.4460,3455.0680,3677.5920,87223823000,1090790371222.0000,3.390505
2015-12-11,sh.000300,3681.5820,3699.3370,3578.1460,3608.0590,58352776100,792728109649.0000,-1.890721
2015-12-18,sh.000300,3573.8840,3810.2180,3570.9980,3767.9130,74098360700,1025030499801.0000,4.430471
2015-12-25,sh.000300,3762.0960,3926.6860,3759.9890,3838.2010,87156149300,1195411481168.0000,1.865436
2015-12-31,sh.000300,3847.5320,3853.3890,3710.4800,3731.0050,46337750600,651218870712.0000,-2.792871
2016-01-08,sh.000300,3725.8560,3726.2450,3237.9310,3361.5630,65351589400,753562154293.0000,-9.901943
2016-01-15,sh.000300,3303.1250,3342.4810,3072.0390,3118.7300,68267012700,734053360182.0000,-7.223812
2016-01-22,sh.000300,3068.2350,3227.9080,3053.9580,3113.4630,56057360300,614421180527.0000,-0.168883
2016-01-29,sh.000300,3129.0280,3149.3320,2839.2900,2946.0900,55323036300,545152446267.0000,-5.375783
2016-02-05,sh.000300,2939.0400,2999.2060,2869.5610,2963.7890,42141683700,415482345391.0000,0.600762
2016-02-19,sh.000300,2888.4280,3093.5130,2886.0180,3051.5850,52553016000,519332835657.0000,2.962289
2016-02-26,sh.000300,3083.9330,3128.2070,2902.9480,2948.0310,63007649000,628103737379.0000,-3.393450
2016-03-04,sh.000300,2939.5800,3101.6560,2821.2150,3093.8890,81363756300,763986592162.0000,4.947641
2016-03-11,sh.000300,3109.0000,3130.9030,2982.1720,3018.2840,52956978500,515395250524.0000,-2.443720
2016-03-18,sh.000300,3039.5690,3197.6680,3028.5780,3171.9630,65912138500,697592320523.0000,5.091602
2016-03-25,sh.000300,3203.2930,3267.7750,3174.3180,3197.8170,75049609900,884247334691.0000,0.815079
2016-04-01,sh.000300,3206.9530,3241.9270,3122.7600,3221.8950,55821340500,652727815004.0000,0.752951
2016-04-08,sh.000300,3211.3050,3271.9300,3163.3050,3185.7260,47965916900,538696596493.0000,-1.122600
2016-04-15,sh.000300,3213.5070,3296.5230,3198.9030,3272.2050,62666086800,667959076365.0000,2.714577
2016-04-22,sh.000300,3252.6710,3252.6710,3107.3690,3174.9010,52200051000,560024381766.0000,-2.973652
2016-04-29,sh.000300,3164.7380,3188.8260,3135.6430,3156.7450,31444466800,363911279648.0000,-0.571860
2016-05-06,sh.000300,3159.8230,3222.8820,3130.1470,3130.3540,37244116400,416742715416.0000,-0.836019
2016-05-13,sh.000300,3115.4300,3115.4300,3035.0230,3074.9350,39127015100,405653174232.0000,-1.770375
